Node Population Gap_0 Gap_200 Gap_400 Gap_600 Gap_800 Gap_1000 Gap_1200 Gap_1400 Gap_1600 Gap_1800 Gap_2000 Gap_2200 Gap_2400 Gap_2600 Gap_2800 Gap_3000 Gap_3200 Gap_3400 Gap_3600 Gap_3800 Gap_4000 Gap_4200 Gap_4400 Gap_4600 Gap_4800 Gap_5000
-56.5233418--33.3712063 0 1 1 3 3 5 6 8 10 11 11 11 12 12 12 13 13 13 13 13 13 13 13 13 14 14 14
-56.5222942--33.3675548 0 1 1 1 2 5 6 9 9 9 11 11 11 11 12 12 12 13 13 13 13 13 13 13 13 13 14
-56.5231999--33.3671414 0 1 1 1 2 2 6 7 9 9 10 11 11 11 12 12 12 13 13 13 13 13 13 13 13 13 14
-56.522762--33.3683345 53 1 1 1 2 4 7 9 9 9 11 11 11 11 12 12 12 13 13 13 13 13 13 13 13 14 14
-56.5236925--33.3678981 0 1 1 1 2 6 6 8 9 10 11 11 11 11 12 12 12 13 13 13 13 13 13 13 13 14 14
-56.5255954--33.3670125 23 1 1 1 2 4 6 6 8 10 10 11 11 11 11 12 12 12 13 13 13 13 13 13 13 13 13
-56.5232605--33.3691422 71 1 1 2 3 5 7 8 9 11 11 11 11 12 12 12 13 13 13 13 13 13 13 13 13 14 14
-56.5241912--33.3687011 94 1 1 1 2 4 6 8 9 10 11 11 11 12 12 12 13 13 13 13 13 13 13 13 13 14 14
-56.5251242--33.368272 74 1 1 1 3 5 6 7 9 10 11 11 11 11 12 12 12 13 13 13 13 13 13 13 13 14 14
-56.5237704--33.369945 52 1 1 2 3 4 6 8 9 11 11 11 11 12 12 12 13 13 13 13 13 13 13 13 14 14 14
-56.5242802--33.3707704 59 1 1 2 4 4 6 7 10 11 11 11 12 12 12 13 13 13 13 13 13 13 13 13 14 14 14
-56.5247053--33.36952 109 1 1 2 4 4 7 7 9 11 11 11 11 12 12 12 13 13 13 13 13 13 13 13 14 14 14
-56.5256471--33.3690772 114 1 1 1 3 4 5 7 9 10 11 11 11 12 12 12 13 13 13 13 13 13 13 13 13 14 14
-56.5261685--33.3698804 64 1 1 2 3 4 5 8 8 9 11 11 11 12 12 12 13 13 13 13 13 13 13 13 14 14 14
-56.5252219--33.3703275 66 1 1 1 4 4 5 7 9 11 11 11 12 12 12 13 13 13 13 13 13 13 13 13 14 14 14
-56.5267747--33.372759 75 1 1 1 2 4 6 6 9 9 10 12 12 12 13 13 13 13 13 13 13 13 14 14 14 14 14
-56.5248082--33.3715748 32 1 1 1 4 5 5 6 10 11 11 11 12 12 12 13 13 13 13 13 13 13 13 14 14 14 14
-56.5253342--33.3723962 70 1 1 2 3 5 5 7 9 10 11 12 12 12 13 13 13 13 13 13 13 13 13 14 14 14 14
-56.5276125--33.373402 83 1 1 1 2 4 6 7 7 9 11 12 12 12 13 13 13 13 13 13 13 13 14 14 14 14 14
-56.5257478--33.3711341 100 1 1 2 3 4 5 8 8 10 11 11 12 12 12 13 13 13 13 13 13 13 13 14 14 14 14
-56.5262607--33.3719599 63 1 1 1 2 5 5 6 9 10 11 12 12 12 13 13 13 13 13 13 13 13 13 14 14 14 14
-56.5277434--33.3723155 70 1 1 1 1 3 6 6 8 9 10 12 12 12 13 13 13 13 13 13 13 13 13 14 14 14 14
-56.5266894--33.3707066 64 1 1 1 2 4 5 7 8 10 11 11 12 12 12 13 13 13 13 13 13 13 13 13 14 14 14
-56.528188--33.3710723 56 1 1 1 1 2 5 7 7 9 10 11 12 12 12 13 13 13 13 13 13 13 13 13 14 14 14
-56.5296627--33.3714222 179 1 1 1 1 1 3 7 7 8 9 10 12 12 12 13 13 13 13 13 13 13 13 13 14 14 14
-56.5286987--33.3718726 90 1 1 1 1 2 5 7 7 9 9 10 12 12 12 13 13 13 13 13 13 13 13 14 14 14 14
-56.5286168--33.3698043 91 1 1 1 1 2 5 6 7 8 10 11 11 12 12 12 13 13 13 13 13 13 13 13 13 14 14
-56.5276562--33.3702444 89 1 1 1 2 3 5 7 8 8 10 11 11 12 12 12 13 13 13 13 13 13 13 13 14 14 14
-56.528188--33.3710723 43 1 1 1 1 2 5 7 7 9 10 11 12 12 12 13 13 13 13 13 13 13 13 13 14 14 14
