NodesOrigin NodeDestination TravelTime
-55.5519742--30.8818532 -55.5480177--30.9348957 7132.969873938711
-55.5519742--30.8818532 -55.5432647--30.9046453 3315.3048321766314
-55.5519742--30.8818532 -55.5387842--30.8983692 2518.6043749183905
-55.5519742--30.8818532 -55.535206--30.8968925 2401.447834631065
-55.5519742--30.8818532 -55.5408345--30.8994459 2620.242404922772
-55.5519742--30.8818532 -55.5479583--30.8988977 2328.3810870132565
-55.5427139--30.9038737 -55.5408045--30.8940981 1407.2684774947977
-55.5427139--30.9038737 -55.5429827--30.8975041 980.7921840027656
-55.5427139--30.9038737 -55.5446627--30.9072855 459.09517662861754
-55.5427139--30.9038737 -55.555358--30.8917376 2213.7077235680326
-55.5427139--30.9038737 -55.5367526--30.9026954 822.5443671927316
-55.5427139--30.9038737 -55.5458412--30.908663 653.5919761857381
-55.5427139--30.9038737 -55.5480177--30.9348957 4000.67352844962
-55.5427139--30.9038737 -55.5432647--30.9046453 100.45262534752683
-55.5427139--30.9038737 -55.5387842--30.8983692 716.6409749233367
-55.5427139--30.9038737 -55.535206--30.8968925 1234.471003487853
-55.5427139--30.9038737 -55.5408345--30.8994459 615.1569557834099
-55.5427139--30.9038737 -55.5479583--30.8988977 896.1785063429247
-55.549482--30.910599 -55.5408045--30.8940981 2291.45364636048
-55.549482--30.910599 -55.5429827--30.8975041 1854.9092756423527
-55.549482--30.910599 -55.5446627--30.9072855 715.3781733675639
-55.549482--30.910599 -55.555358--30.8917376 3083.5690845144923
-55.549482--30.910599 -55.5367526--30.9026954 1896.22834957698
-55.549482--30.910599 -55.5458412--30.908663 539.0526071693147
-55.549482--30.910599 -55.5480177--30.9348957 3572.0469379344545
-55.549482--30.910599 -55.5432647--30.9046453 994.6715925835815
-55.549482--30.910599 -55.5387842--30.8983692 1810.5698521784611
-55.549482--30.910599 -55.535206--30.8968925 2313.4451151405283
-55.549482--30.910599 -55.5408345--30.8994459 1502.2111133599788
-55.549482--30.910599 -55.5479583--30.8988977 1768.6366599132298
-55.5492535--30.9105368 -55.5408045--30.8940981 2268.5478821742463
-55.5492535--30.9105368 -55.5429827--30.8975041 1832.0035114561194
-55.5492535--30.9105368 -55.5446627--30.9072855 692.4724091813306
-55.5492535--30.9105368 -55.555358--30.8917376 3060.663320328259
-55.5492535--30.9105368 -55.5367526--30.9026954 1873.3225853907463
-55.5492535--30.9105368 -55.5458412--30.908663 516.1468429830815
-55.5492535--30.9105368 -55.5480177--30.9348957 3549.141173748221
-55.5492535--30.9105368 -55.5432647--30.9046453 971.7658283973483
-55.5492535--30.9105368 -55.5387842--30.8983692 1787.664087992228
-55.5492535--30.9105368 -55.535206--30.8968925 2290.539350954295
-55.5492535--30.9105368 -55.5408345--30.8994459 1479.3053491737455
-55.5492535--30.9105368 -55.5479583--30.8988977 1745.7308957269966
-55.5523469--30.9401378 -55.5408045--30.8940981 6194.485958326909
